"Customer Name","Email","Phone Number","Query","Query Date","Transaction Date","Transaction Amount","Fraud Incident"
"Alexandra Price","elizabeth44@example.com","+1-369-422-7840x59138","Top school deal fish common drive responsibility.","2023-06-07","2023-07-03",260.66,False
"Joe Hernandez","onealpeter@example.com","001-925-227-7195x868","Every north improve.","2023-08-31","2023-09-15",601.26,False
"Laura Simpson","nicholaswillis@example.com","+1-571-985-7964x73695","Morning economic hard most management reveal.","2023-02-17","2023-03-07",477.94,False
"Kurt Morales","kathrynburton@example.org","896.377.8208x5515","Indeed bank firm five.","2022-09-17","2022-10-17",676.16,False
"Evan Robinson","colinhendricks@example.net","+1-274-310-6971x8418","Prove pattern according then.","2023-05-10","2023-05-31",823.52,True
"Elijah Barber","rlawson@example.com","+1-808-285-4217x7688","Bank no officer reason soldier.","2022-10-13","2022-10-27",35.61,False
"Richard Graham","hmartin@example.org","795.597.3120","Although account take billion receive act decide.","2023-04-06","2023-04-09",814.59,True
"Donald Bray","cclay@example.net","586.429.2153x6090","Simple think simple.","2023-07-29","2023-07-30",85.8,True
"Donald Marks","fcurry@example.org","209.752.1344x9943","Toward age federal sea quite through.","2023-03-24","2023-03-29",711.63,False
"Tonya Roy","burnettlisa@example.com","+1-217-238-2993x34901","Run thought determine themselves must.","2023-08-13","2023-08-31",186.06,True
"Adrian Bradford","gamblepatrick@example.com","001-707-658-1618x977","Control rather big.","2023-08-01","2023-08-16",650.16,False
"Savannah Fuller","marymontgomery@example.com","816.792.7582","Cold staff soldier spring.","2023-01-19","2023-02-15",262.1,False
"Kathryn Park","grogers@example.org","(431)905-0552x0046","Ready west hot while.","2022-10-25","2022-10-31",230.18,False
"Beverly Simmons","jeffreyfrank@example.com","670-483-9416x1671","Wait there gas prove.","2023-07-14","2023-07-19",627.66,False
"Nicole Carlson","markbowers@example.com","001-838-202-1023x9615","Quickly physical mission final president.","2023-01-31","2023-02-10",91.12,False
"Samantha Rodriguez","pallen@example.org","498-620-6365","Recent specific ok outside fight.","2023-01-09","2023-02-05",64.39,True
"Marilyn Brooks","victorbrewer@example.com","401-501-0301x4593","Own visit over light speak point item.","2023-05-07","2023-05-18",847.42,False
"Stephanie Anderson","davisdonna@example.com","683-686-9394","Finish often answer former each least without.","2022-12-19","2023-01-06",883.34,False
"Jamie Blake","sonyamartinez@example.net","842-478-3717x56383","Sound argue international stay artist.","2023-02-03","2023-02-13",363.61,True
"Tiffany Thomas","harryjohnston@example.com","4037984695","Chair land only magazine garden lose society.","2023-02-16","2023-03-02",207.09,False
"Melissa Petersen","emilyrichmond@example.org","354.959.6203x59526","Visit subject probably provide capital.","2023-07-18","2023-07-24",276.76,False
"Deborah Hill","jonathan31@example.net","+1-742-898-2186x8832","Partner beautiful military teacher fear.","2023-04-02","2023-04-08",645.81,True
"Christian Morgan","john95@example.com","001-516-531-5374x83408","Us chair investment hundred size street which.","2023-04-23","2023-04-30",977.61,False
"Michael Willis","vanessa07@example.org","522.431.2612","Sound record recognize compare charge.","2023-05-03","2023-05-12",89.39,False
"Kelsey Daniels","mortiz@example.org","5577403053","Imagine society actually in cell follow.","2022-09-21","2022-09-29",599.55,False
"John Clark","browngary@example.net","760-677-9035","Tree attention apply star crime mouth.","2023-03-14","2023-03-22",296.07,True
"Alison Rhodes","wbauer@example.com","(818)848-9796x8504","Nation while network either indicate low.","2023-06-20","2023-06-22",491.85,True
"Shane Rojas","rhonda36@example.net","001-824-629-4260","Occur sort shake same.","2023-05-03","2023-06-02",503.18,True
"Lisa Russell","ligeorge@example.net","+1-917-398-1464x3900","Agent daughter suddenly tax forward citizen sound have.","2022-11-17","2022-12-04",136.38,False
"Nicholas Stone","thomas21@example.net","+1-204-767-2172x2670","Protect camera court political far.","2022-10-29","2022-11-22",852.15,False
"Tracy Garrison","gomezrose@example.net","700-417-0821x826","Forget magazine over better road.","2023-06-02","2023-07-01",620.27,False
"Sydney Morgan","qgriffith@example.org","579-357-3167","Woman beautiful weight front term both standard growth.","2023-02-20","2023-03-02",815.8,False
"Kathryn Salas","dmcdaniel@example.net","928.264.7131","Church strategy writer person.","2022-11-22","2022-12-22",700.23,True
"Amy Scott","bturner@example.org","235.824.8766","Scientist amount collection customer so share.","2022-10-23","2022-11-12",760.42,True
"Jennifer Lynch","rebecca77@example.net","202-527-7195","Share up Democrat area return eight better.","2023-08-07","2023-08-19",621.84,False
"Jack Gray","ltran@example.org","(441)739-3129x613","Answer increase throw far open new family.","2023-04-18","2023-05-18",998.37,False
"Harry Hopkins","marilyn01@example.org","+1-515-985-1938x000","Source cup against.","2023-07-10","2023-07-29",746.84,True
"Jane Fry","brockmatthew@example.net","001-835-693-4289x7296","Listen quite time themselves various part market.","2022-09-22","2022-10-04",69.12,False
"Tonya Duncan","longbrendan@example.net","699-941-3214","Question party peace though property sport.","2023-05-08","2023-05-25",305.96,False
"Janet Green","teresa50@example.net","(767)514-8777","Them those fast beyond.","2023-04-30","2023-05-19",161.44,False
"Sarah Doyle","dianeellis@example.net","001-990-982-1689x6723","Audience seek experience.","2023-03-24","2023-03-28",919.34,False
"Anna Bailey","alexander45@example.com","(664)961-4181x86996","Practice walk low treat future win apply.","2023-03-05","2023-03-25",363.94,False
"Douglas Haynes","butlerrebecca@example.org","001-967-226-1632x565","Shoulder civil I.","2023-05-14","2023-05-31",420.49,False
"Tyler Duffy","milleralex@example.com","9558775890","Every continue system help.","2022-10-09","2022-10-31",825.46,False
"Shawn Vazquez","greerelizabeth@example.org","001-694-475-0321x28199","Very box natural believe father toward.","2022-11-18","2022-12-04",104.61,False
"Donald Lucas","yvonne25@example.net","(257)548-4609x69944","Image seek give common when paper something interesting.","2022-09-21","2022-09-29",166.69,False
"Robert Meyer","lisagreene@example.net","+1-851-709-8805x5373","Parent enough claim light.","2022-11-15","2022-11-27",866.19,False
"Hailey Ellis","leslieortega@example.org","920.927.1911x18949","Tree security phone.","2023-08-02","2023-08-03",435.76,False
"Kimberly Flores","uturner@example.org","(577)860-5771x9260","Threat decade decision now my remain.","2023-05-13","2023-06-06",97.81,True
"Tracy Oneill","joseph04@example.com","362.677.4809","Pm reflect capital resource much training offer.","2023-04-08","2023-04-29",377.62,False
"Jennifer Gates","jonestiffany@example.org","423-450-8332x3393","Research foreign peace form blue house.","2023-01-09","2023-01-24",444.81,False
"Samantha Cisneros","joshua15@example.org","9958202254","Rich report million outside among sound.","2023-01-28","2023-02-25",597.44,False
"Laura Young","kevinbowman@example.net","681-321-1543","Alone return allow natural business smile throughout.","2022-10-13","2022-11-06",692.5,False
"Eric Ellis","michelle34@example.net","+1-546-524-1739x9858","Relate international shake condition majority.","2023-09-10","2023-09-27",843.28,False
"Mark Adams","fieldsjeffrey@example.org","210-611-0329x15899","Always respond strategy thank travel interview can feeling.","2023-03-20","2023-04-09",199.15,True
"Zachary Fletcher","christopher21@example.net","340.476.8376x85428","Late not follow deal.","2023-08-02","2023-08-09",790.45,False
"Jason Howell","opayne@example.net","7669792343","Me four behind hear activity your return.","2023-06-22","2023-07-20",261.64,False
"Christopher Velez","brian30@example.org","+1-640-583-1518","American kitchen too itself.","2022-11-23","2022-12-23",501.65,True
"Michael Thompson","williamwelch@example.org","276-614-8928","Economic star dark kind.","2022-12-21","2022-12-29",841.54,False
"Stacey Farley","holmesmelanie@example.com","(486)598-1184","Box benefit bank total anyone visit.","2022-10-20","2022-11-16",677.19,False
"Aimee Delgado","rebecca10@example.com","(587)690-2703x69946","Simple person building establish can.","2023-08-30","2023-09-27",410.03,False
"Joshua Fletcher","phernandez@example.net","+1-895-399-3334","Soon turn hair rich political career health good.","2022-10-09","2022-10-20",523.49,False
"Stephanie Smith","barrdavid@example.org","+1-767-310-0939x36680","Agreement agent international time the drug remain old.","2023-04-14","2023-05-01",739.33,False
"Jeremy Keith","wwang@example.org","(289)926-8841x82301","During magazine deal population.","2023-05-04","2023-05-20",989.81,False
"Michelle Booth","logansmith@example.org","7009551512","Hard green use anything ball herself.","2022-11-13","2022-12-01",387.55,True
"Mary Pitts","morgan76@example.com","(206)618-1025x6013","People thing notice best life.","2023-08-26","2023-08-29",226.16,True
"Juan Hester","rodriguezelizabeth@example.com","470-975-1165x6296","Air might save eight address.","2022-09-23","2022-10-04",267.37,True
"David Daniel","dkim@example.org","(964)224-0548x89357","Be want wrong conference produce drive letter.","2023-06-23","2023-07-16",422.78,True
"Lindsay Thomas","perezspencer@example.org","847.627.4407","Challenge bring happy business approach music.","2023-06-15","2023-06-19",376.46,False
"Travis West","nestes@example.net","621-824-1725","Lay price into spring big any.","2022-11-19","2022-11-24",609.33,False
"John Bruce","austin26@example.net","001-897-417-1153","Debate effort end maintain.","2023-04-12","2023-05-01",423.68,False
"Regina Randall","lsmith@example.org","(284)752-8746","In hand him.","2023-05-28","2023-05-29",183.83,False
"Randall Smith","gregory65@example.org","001-891-680-2202x743","Worry couple fear billion appear.","2023-05-13","2023-06-06",826.3,False
"Ryan Hernandez","bhenry@example.com","209-454-4682","Pm throw serve first simply sit box.","2023-01-04","2023-01-06",896.42,False
"Hayden Reed","bruceterrell@example.net","9004032716","Society black stop history assume computer decide.","2023-05-01","2023-05-31",395.41,False
"Erica Barnes MD","tadams@example.org","+1-311-795-6552x52661","Sort expect article later member art.","2023-08-11","2023-09-02",566.27,False
"Annette Beard","sandra55@example.net","001-503-655-8164x736","Future television image age camera spend.","2023-08-16","2023-09-13",825.74,False
"Matthew Miller","kiddpatricia@example.net","556-236-2504","Republican easy study must western.","2022-11-17","2022-11-21",799.62,False
"Kelly Hendricks","colemancynthia@example.com","+1-569-318-5971x64959","Common fill hotel floor involve a road.","2022-10-12","2022-11-04",336.01,True
"Stephanie Francis","cmills@example.com","556.323.7933x74969","Chair bring behavior go beautiful meeting form week.","2023-04-20","2023-05-20",63.83,False
"Tina Sanchez","wallerharry@example.org","767-237-8196","Maybe even community speech year how.","2022-12-17","2023-01-06",801.56,False
"Kelly Pacheco","sarahroberts@example.org","001-697-221-0394x944","Including type night light.","2023-09-12","2023-10-01",936.92,False
"Kim Gardner","savannahkelley@example.net","001-508-947-4609","Standard admit answer face.","2023-02-01","2023-02-27",566.54,True
"Emily Crawford","brianyu@example.net","978.295.5595x236","Writer sound themselves Mr religious thought official.","2022-10-30","2022-11-07",596.63,False
"James Marks","sean08@example.com","811.448.1669","Bring coach general level voice.","2022-10-05","2022-10-13",986.96,False
"Theodore Donaldson","james44@example.net","+1-385-780-7898x463","Race view too fill college lead.","2023-04-23","2023-05-03",700.32,False
"Jason Evans","zdavis@example.com","310.725.2536","Skill nearly better read small body.","2023-04-22","2023-04-24",57.81,True
"Victoria Tate","kbennett@example.org","001-879-675-6410x237","Cost rise foot.","2023-01-26","2023-02-04",257.52,True
"Michael Nelson","bjames@example.org","001-532-402-8007x96637","Manage performance read significant activity local.","2022-10-06","2022-10-07",643.1,False
"Mrs. Madison Lucas","dmelendez@example.org","461.433.2785x72319","Term off church suddenly walk.","2023-08-21","2023-08-28",433.55,False
"James Adams","jasmine39@example.net","001-981-529-0610x88531","Mother still democratic pull listen send.","2023-02-28","2023-03-16",858.0,False
"Elizabeth Manning","travismartin@example.com","2602604469","Difficult heart commercial could case.","2023-04-15","2023-04-21",348.73,True
"Robert Barry","vhudson@example.org","581-913-5702x04098","Lawyer enjoy pull director view.","2023-06-10","2023-06-22",317.32,False
"Christine Smith","fwhite@example.com","251.559.1733x62563","Blue soon various different.","2023-04-20","2023-04-27",143.04,False
"Shelly Gardner","spencejohn@example.net","880-409-7961","Buy study believe establish.","2023-03-26","2023-04-06",718.78,False
"Jessica Yang","josephhill@example.org","001-744-587-3988x3354","Able fall past time card.","2023-06-18","2023-06-21",955.88,False
"Melissa Short","williamfritz@example.com","260-368-3531x3046","Wife free themselves anything.","2022-11-13","2022-11-17",827.14,False
"Dakota Boyd","jeffrey19@example.com","001-992-566-2116","Senior forward style participant add imagine.","2022-09-25","2022-10-09",927.26,True
"Olivia Stewart","hpeters@example.net","971.266.2306","Miss data evening without sell wish.","2023-08-16","2023-09-08",627.3,True
"Sherry French","george31@example.com","9457301313","Church standard run.","2023-02-02","2023-02-08",791.86,False
"Carmen Thomas","john93@example.com","966.962.0325x7077","Baby into environment rise college scene boy.","2023-03-14","2023-04-01",833.83,False
"Melissa Spence","qramirez@example.com","(738)726-9788x437","Air way else sport.","2022-12-05","2022-12-18",922.99,False
"Terri Riggs DDS","robert09@example.org","001-693-748-7615","Material total rock away watch difference.","2023-07-19","2023-07-20",980.07,True
"Jeffrey Stevens","carlbecker@example.net","(699)467-7645x41396","Memory consider color why never actually go it.","2022-12-20","2023-01-10",798.24,False
"Luke Snyder","hhall@example.net","(700)471-1271x1816","Quite interview field could evening them summer.","2023-01-15","2023-01-18",247.26,False
"Michele Bowers","hermanlori@example.net","001-796-822-4406x19799","Beat you option art apply guy machine.","2023-03-05","2023-03-08",722.76,True
"Hannah Chavez","rowlandemily@example.net","+1-208-578-3230x863","Suffer necessary human send into.","2023-01-22","2023-01-29",596.49,False
"Kimberly White","michaelsmith@example.net","+1-742-320-6881x82409","Pattern try line doctor give south cost.","2022-12-21","2023-01-13",968.28,False
"Briana Sullivan","derrickhoward@example.net","312-287-5084","Mean newspaper single clear pull new chance rest.","2023-08-27","2023-09-08",285.55,False
"Robert Oneal","hendersonrobert@example.net","6414558599","Social well poor pretty reason idea kitchen.","2023-03-19","2023-03-27",816.23,True
"Nathan Estrada","mccoydavid@example.org","001-261-233-2677x84807","Specific on child decade account.","2022-12-28","2023-01-03",793.5,False
"Jennifer Hunter","kramerdiane@example.net","(622)651-4949x13882","Hundred hundred above away crime.","2023-07-17","2023-07-21",119.74,True
"Robert Orr","evan55@example.com","001-771-661-0256x93988","Growth official six say challenge.","2022-11-06","2022-11-18",912.8,False
"Nicole Lowe","suzanne14@example.net","001-299-886-0761","Low color through.","2023-03-26","2023-04-12",947.37,False
"Natalie Miller","manuel48@example.net","+1-453-995-3922x80530","Them answer away trip million enjoy difficult.","2023-01-22","2023-02-09",862.93,False
"Charles Morales","stephaniemitchell@example.net","2207016907","Wish learn score yeah gun.","2023-06-17","2023-06-28",592.11,False
"Lauren Phelps","garzamelissa@example.com","(345)273-5186x2672","Write often nearly tell administration within former.","2023-06-30","2023-07-14",218.46,False
"Adrian Mendoza","zwalter@example.com","(470)797-3408x9139","Smile possible style various nation age.","2023-08-15","2023-09-02",137.29,False
"Mrs. Erin Miller DDS","nicolecarter@example.net","+1-251-579-0238","Kid morning act senior onto find personal people.","2022-11-07","2022-12-05",309.29,False
"Jacqueline Thomas","yvonnekim@example.com","319-252-6319x14809","Throw carry establish expect each hospital stay.","2022-12-21","2023-01-18",671.1,False
"Ricardo Mathews","denise65@example.org","001-617-834-7939x93952","Marriage to size building upon.","2022-11-21","2022-11-25",497.32,False
"Sarah Johnson","gomezmichael@example.net","811.306.5312x6775","Second true name street edge whole effort.","2022-10-01","2022-10-08",646.78,False
"Jake Alvarado","delgadoalbert@example.net","001-842-560-4825","Us hit pass hard call exactly each.","2023-07-22","2023-08-19",49.3,False
"Preston Simpson","nielsendavid@example.org","(884)350-9274","Key smile entire per any century.","2023-02-01","2023-02-07",394.28,True
"Allison Cooke","brownjake@example.org","970.501.3595x0916","Consider see he determine air certainly.","2022-11-27","2022-12-26",835.94,False
"Wendy King","grobinson@example.net","+1-319-719-0257x96551","Meet Mrs opportunity need authority.","2023-02-17","2023-03-18",304.81,False
"Jesse Marsh","haley77@example.org","325-524-9998x90079","About world source baby.","2022-10-16","2022-11-03",40.14,False
"Bryan Walsh","michaelrandall@example.org","350-471-2709","Stay red close record general.","2023-03-10","2023-04-05",604.04,False
"Laurie Hahn","lanelauren@example.net","+1-670-383-0065x0646","Born firm same color speech appear.","2023-04-18","2023-05-17",556.75,False
"Catherine Ferguson","ihuber@example.org","963.404.1697x255","Reason agreement must step.","2023-05-07","2023-05-15",195.61,True
"Leslie Martinez","laurie46@example.com","585.336.7906x09817","Name hot maybe suggest.","2023-04-13","2023-04-30",967.62,False
"Eric Scott","brandon81@example.org","732-891-4420x99473","Into think various necessary agreement prevent.","2022-09-17","2022-09-28",540.02,False
"Lucas Green","fstrickland@example.com","(940)616-3883x165","Discussion possible identify magazine west enter throughout brother.","2023-08-30","2023-09-28",159.25,True
"Anthony Olson","brendahendricks@example.org","711.807.3555x36006","Public provide government star tough agent politics.","2023-07-24","2023-08-19",592.54,True
"Vicki Rivera","amorgan@example.net","507-929-5037x8625","Describe young ever season phone manager.","2022-11-08","2022-11-14",594.07,False
"Timothy Young","frederickmccall@example.com","(594)324-5996x942","Group truth story region cost onto.","2023-02-14","2023-02-20",648.86,False
"Patricia Knight","kparker@example.net","792-333-6178x839","Interview stay maintain these central.","2023-04-14","2023-05-08",311.85,False
"Chase Webb","matthewrhodes@example.org","+1-652-810-8079x789","View somebody moment television development mother truth.","2023-07-02","2023-07-05",267.1,False
"Stephanie Wright","jenniferjohnson@example.net","(890)498-1397x6439","Expect pass culture charge.","2023-08-11","2023-09-07",471.39,True
"Michael Mckay","williamwalton@example.net","(223)553-2022","Food expect social discover claim.","2023-03-08","2023-03-17",179.17,False
"Lori King","jasminejohns@example.net","395.529.9946","Rather sort pressure.","2023-04-25","2023-04-28",172.08,False
"Tyler Ramos","joshua75@example.org","+1-476-466-1872x0527","Performance poor information brother.","2022-10-21","2022-11-12",254.9,False
"Erica Thompson","brewerandrea@example.com","984.879.5869x641","Risk staff including condition professional.","2023-06-02","2023-06-05",846.03,True
"Robert Carpenter","anthony11@example.com","7785843949","Learn country under answer thought woman.","2023-08-04","2023-08-27",423.9,False
"Kevin Tran","nicholaspatterson@example.com","8093501369","Technology left financial back serious.","2023-09-05","2023-09-17",870.18,False
"Kristopher Wallace","laurapatterson@example.org","(880)869-6411x50773","Few myself attention I there later capital.","2022-12-19","2023-01-09",820.8,False
"Evan Brown","heather23@example.net","635-444-3225x676","Role require no market night might call.","2023-07-02","2023-07-26",748.66,False
"Belinda Steele","lsandoval@example.org","(461)679-2848x535","Leg sign within nothing choice.","2023-03-28","2023-04-26",975.04,True
"Michael Pruitt","twilson@example.org","248.635.2845x345","Sound leave off his hand book put collection.","2023-05-12","2023-05-14",388.8,False
"Steven Kim","katrina01@example.com","001-492-880-2423","Relate laugh share without task appear campaign.","2023-02-09","2023-02-22",44.89,True
"Christina Santana","taramorris@example.com","001-652-615-6424x0730","Reach cultural later civil.","2023-03-12","2023-03-28",126.14,False
"Paul Olson","smithamanda@example.com","214-226-3799x048","Deal view difference PM.","2023-04-01","2023-04-06",543.38,False
"Mary Smith","shawn20@example.net","509-279-2603x47444","Alone side bed various expect physical tax.","2022-09-16","2022-10-05",330.93,True
"Kaitlyn Berry","daniellesmith@example.net","429-570-9349","He discussion return sound.","2023-07-12","2023-07-29",528.38,False
"Gregory Bauer","ronaldpayne@example.org","001-681-835-1556x456","Network job today make spring.","2023-01-01","2023-01-20",81.85,False
"Nicole Ortiz","wpowell@example.net","(571)367-9719","Age boy serve head.","2023-03-23","2023-03-31",225.86,False
"Marie Whitney","lisatownsend@example.net","373-733-9702x01746","Threat argue team most.","2022-10-21","2022-10-26",787.28,False
"John Mcgee","mary96@example.com","+1-645-645-9530","Water star business between sound care front.","2022-12-26","2022-12-29",365.32,False
"Michael Vang","wisemichael@example.org","001-452-791-8825x989","Vote bad time save kitchen food along watch.","2022-11-09","2022-12-01",810.52,True
"Julie Lopez","sheltonlaura@example.com","001-331-940-0389x215","Later arm adult develop note second safe.","2023-09-08","2023-09-11",703.45,False
"Emily Morales","gina16@example.net","+1-881-654-5070x876","Fast debate four hospital.","2023-08-13","2023-08-19",809.99,False
"Melinda Monroe","qrose@example.org","523.372.3633x147","Into owner news environmental audience.","2023-06-08","2023-06-28",61.82,False
"Christina Green","rhondalong@example.com","986.850.2934","Pretty pick then soon.","2023-01-30","2023-02-07",232.94,False
"David Richardson","gutierrezjohn@example.net","640.516.5827x22928","Project class she read indicate.","2023-07-24","2023-08-16",745.71,False
"David Decker","kelsey87@example.org","2452294067","Nothing long of.","2022-12-19","2022-12-31",418.6,False
"Kathleen Taylor DVM","nicolemorris@example.net","(638)638-3015x57958","Picture your billion turn life member choose.","2023-06-19","2023-07-02",816.9,True
"Alex Kemp","kingjeffrey@example.net","001-873-917-0912x801","Available marriage society analysis TV military bill.","2023-03-05","2023-03-14",805.2,False
"Latoya Harris","ericastephens@example.net","(418)916-4788x224","Simple wish environment help.","2023-02-01","2023-02-04",981.56,False
"Carrie Vargas","tranwilliam@example.net","644.324.0857","Every trial amount whether significant.","2022-12-05","2022-12-22",334.25,False
"Steven Brown","annette72@example.com","+1-420-900-1513x008","Across common whatever investment.","2023-03-13","2023-03-18",303.77,True
"Dr. Carol Frye","ycox@example.net","8177590575","Air site I oil natural.","2023-03-15","2023-04-01",536.24,False
"Terry Campbell","leepamela@example.org","(719)740-7311x1116","Drop write population site world.","2023-08-09","2023-08-29",206.95,True
"Matthew Lamb","sarah95@example.net","971.802.0003x35637","Fight attention financial.","2023-08-14","2023-09-10",429.41,True
"Sandra Harrison","kennethsmith@example.com","001-275-347-3858","End school eat.","2023-09-14","2023-09-18",132.23,False
"Samantha Jones","marissasalazar@example.org","001-756-630-2154x36790","Accept try beat whom next ok road.","2022-12-28","2023-01-24",491.26,False
"Michael Lopez","william61@example.com","001-471-893-3328x8253","Memory never yeah later.","2023-02-28","2023-03-09",714.96,False
"Laura Pena","hailey82@example.net","5238502367","Leg begin tell off example.","2023-07-28","2023-08-04",279.79,False
"Jared Cohen","ghunt@example.com","001-399-664-8740x82062","What father share remain rate team.","2023-01-27","2023-02-22",484.47,False
"Anthony Cline","xgarcia@example.com","+1-565-998-6459x205","Area vote second.","2023-08-02","2023-08-30",622.85,True
"Richard Wilson","nataliemiller@example.com","252.744.2848","Security away movie anyone painting.","2022-09-30","2022-10-22",535.55,False
"Thomas Young","atorres@example.com","7386249211","Over notice newspaper rise person claim behind.","2022-12-29","2023-01-19",999.3,True
"Sheena Delacruz","patrickluna@example.net","694-867-5536x7799","Else establish long action lose other.","2022-09-28","2022-10-05",845.65,True
"David Johnson","moralesthomas@example.com","(338)850-1458x735","Law forward effect lay change.","2022-11-02","2022-11-28",842.71,False
"Matthew Lopez","dbrady@example.net","(550)281-9264x1285","Provide more me not language good.","2022-11-20","2022-11-27",562.18,True
"Joseph Hubbard","hsmith@example.net","001-269-855-4187","Indeed prepare program total decade evening company.","2023-07-30","2023-07-31",953.84,False
"Vincent Grant","bradley00@example.com","292.963.5704","Newspaper skin commercial likely eye fine meet.","2023-05-09","2023-05-21",824.83,False
"Darryl Buchanan","oaguilar@example.com","884.503.3341x9492","Weight anything share.","2023-08-11","2023-09-01",373.47,True
"Wayne Watson","elizabethsparks@example.net","+1-466-350-2396x79874","Language build floor partner idea around.","2023-06-23","2023-07-13",398.46,False
"Daniel Williamson","flowe@example.org","836-790-8607x69295","Age among his church rest city.","2022-09-22","2022-09-25",25.16,False
"Jeremiah Riggs","uwhitehead@example.net","(568)692-9295x8785","Enter finish simply believe throughout interest matter report.","2022-12-07","2022-12-10",509.16,True
"Mary Hayes","millerpaul@example.org","+1-854-204-5906x779","Continue a star mean evening chance bar figure.","2022-12-12","2022-12-25",784.72,True
"Debra Benjamin","williamsjessica@example.net","+1-206-896-6438x6567","Relationship talk ability scientist.","2022-10-10","2022-10-22",160.49,True
"Gregory Espinoza","joneslynn@example.net","3099625406","Scene according important really data later.","2023-02-18","2023-03-12",425.12,True
"Natalie Kane","aaron11@example.org","001-654-787-2183x5439","Deal before through bill six.","2022-11-08","2022-12-01",265.64,True
"Briana Davis","toddpowell@example.com","+1-777-421-8649x4189","Black loss low direction develop myself life.","2023-02-07","2023-02-08",632.45,True
"John Martin","sandra50@example.org","522.234.5208","Low choice forward fall hotel.","2022-12-01","2022-12-10",563.39,True
"Heather Stanley","jknight@example.org","(758)455-0058","Hospital magazine special party modern movement.","2022-12-25","2023-01-18",916.79,False
"Lisa Pham","edward47@example.net","747-354-8233x07306","Describe good beyond brother movie condition prove.","2022-12-26","2022-12-30",496.21,False
"Sandra Bell","adammoran@example.com","254.825.7921","Miss material property quickly TV four.","2023-01-29","2023-02-22",542.57,True
"William Sutton","kramerbrian@example.net","+1-650-565-2090","Street catch staff eye night.","2023-06-29","2023-07-11",119.36,False
"Jose Smith","rroberts@example.org","+1-437-289-0984x374","Husband sometimes forget year.","2022-12-05","2022-12-09",696.39,False
"Jacob Leon","dayrichard@example.com","757.404.7547x5892","Safe laugh recognize mean know economic.","2023-04-23","2023-04-30",279.1,False
"Amy Leach","deandaniel@example.net","959.801.1909","Peace artist ahead movement.","2022-12-01","2022-12-05",275.89,False
"Jake Meyer","stephanie74@example.com","308-837-4795","Six past apply marriage decision yard send.","2022-10-04","2022-10-31",640.88,False
"Jack Hernandez","wilsonryan@example.net","(810)454-8320x716","Parent arm choose yard physical approach.","2023-06-28","2023-07-06",923.77,False
"Christina Santana","donald61@example.net","996.688.4395x7157","Gun despite buy wait data still.","2023-03-02","2023-03-18",84.55,True
"Frank Thomas","hunterjohn@example.org","(826)572-7481x041","North election sell become official research.","2023-02-04","2023-02-07",869.17,False
"Paul Jackson","jcolon@example.org","+1-842-383-3723x669","Hope street what serious beyond lay.","2023-07-11","2023-07-12",562.37,False
"Kristen Mejia","elliottsarah@example.com","945.762.9366x9767","Five PM wrong design low.","2023-07-23","2023-08-20",458.22,True
"Grace Grimes","stevenjimenez@example.com","(683)704-6872x1835","Religious often yeah court.","2023-02-18","2023-02-20",333.86,False
"Jaime Lane","syoung@example.com","+1-689-788-9944x07095","View art believe at heart happen few.","2023-07-08","2023-07-26",596.81,False
"Marcus Dalton","gtaylor@example.org","(908)497-6103","Staff central over trade.","2023-06-19","2023-07-17",924.27,False
"Zachary Miller","steve37@example.com","243.965.2032x522","Inside skill north politics pattern economic paper.","2022-09-16","2022-10-04",827.63,False
"Laurie Chandler","julie30@example.com","+1-338-397-9628x951","Day between on impact after according member among.","2022-11-23","2022-12-19",785.31,True
"Michelle Johnson","deborahyang@example.com","597-372-2575x23870","Particular drop bed trade food animal.","2022-09-18","2022-10-06",619.43,False
"Dylan Sanchez","sue14@example.net","4016404176","Our around law up perhaps.","2023-08-28","2023-09-01",393.91,False
"Paul Smith","ramirezkaitlyn@example.com","+1-956-391-4343x38164","Dinner positive thus.","2023-06-01","2023-06-23",208.89,False
"Garrett Davis","gordonjacob@example.org","(494)290-3235x480","Chance letter buy take national travel meeting.","2023-04-20","2023-05-14",140.22,False
"Debra Brown","patelrichard@example.net","001-983-893-0533x20185","Pay with step thus.","2023-09-07","2023-09-28",169.55,True
"Victoria Mendez","michael74@example.org","492.971.1604x914","Generation something teacher senior security onto actually.","2022-11-28","2022-12-13",31.56,True
"Melissa Hodge","aglover@example.org","(575)809-4216","Nature reduce head focus whole debate movie.","2023-08-07","2023-08-29",264.88,True
"Justin Diaz","powellmichael@example.org","(836)820-7818","Effort weight ability study clearly pick month.","2023-06-16","2023-07-04",362.03,False
"Stephen Navarro","fhenry@example.org","441-240-3907","Evening certain decade collection system board key.","2022-10-22","2022-11-18",92.39,False
"Mark Foster","ywallace@example.com","771-673-1789","Police month money heart feeling wear.","2023-08-05","2023-08-09",641.61,False
"Martin Leon","pmarquez@example.org","602-347-5370x1228","Teacher certainly let.","2022-09-24","2022-10-19",973.59,True
"Theresa George","danielashley@example.com","242.935.4040","Seat organization design college.","2023-06-15","2023-06-18",262.16,True
"Tiffany Welch","wilsonjessica@example.com","964-780-4039x916","Safe necessary follow lot her board.","2022-10-04","2022-10-13",547.5,True
"Jordan Flores DVM","gparker@example.org","+1-795-319-1578","Find these cell tonight could.","2023-04-21","2023-05-10",828.1,False
